classNbr,subj,crs,courseTitle,sbc,cmp,sctn,credits,day,startTime,endTime,location,id,likes,avgGrade,semesters,past_instructors,recent_two_instructors,most_recent_instructor
"95446, ?, 92846, 52625",BUS,488,Internship,EXP+,TUT,T90,0 to 3,"APPT, APPT, APPT, APPT","-, -, -, -","-, -, -, -","-, -, -, -",,,,,,,
54731,AMS,303,Graph Theory,NaN,LEC,90,3,MW,10:30 AM,11:50 AM,B204,,,,,,,
"54684, 52120",AMS,315,Data Analysis,"CER, ESI",LEC,90,3,"MW, MW","3:30 PM, 10:30 AM","4:50 PM, 11:50 AM","A312, B313",,,,,,,
"95401(95402), 92227(92228)",AMS,361,Applied Calculus IV: Differential Equations,STEM+,LEC(REC),90(R90),4,"MW(RECF), TUTH(RECTU)","2:00 PM(10:30 AM), 3:30 PM(5:00 PM)","3:20 PM(11:25 AM), 4:50 PM(5:55 PM)","A312, A312",,,,,,,
"56229, 52370",AMS,380,Data Mining,NaN,LEC,90,3,"TUTH, TUTH","2:00 PM, 2:00 PM","3:20 PM, 3:20 PM","B313, B313",,,,,,,
"95630(95631), 56494(56493)",AMS,510,Analytical Methods for AMS,NaN,"LEC(REC), LEC(REC)","90(R90), 90(R90)",3,"TUTH(RETH), MW(RECTU)","3:30 PM(5:00 PM), 5:00 PM(10:30 AM)","4:50 PM(5:55 PM), 6:20 PM(11:25 AM)","B206, A724(A314)",,,,,,,
95620,AMS,599,Research,NaN,TUT,T90,3,APPT,-,-,-,,,,,,,
"95444, 54598/54842, 92844/92858, 52619/52629",ACC,210,Financial Accounting,NaN,LEC,"90, 90/91, 90/91, 90/91",3,"TUTH, TUTH/F, TUTH, TUTH","2:00 PM, 2:00 PM/9:00 AM, 2:00 PM/10:30 AM, 2:00 PM/10:30 AM","3:20 PM, 3:20 PM/11:50 AM, 3:20 PM/11:50 AM, 3:20 PM/11:50 AM","B204, B205/B103, B103/B207, B205/B103",,,,,,,
"96498, ?, 92877, 56514",ACC,214,Managerial Cost Analysis and Applications,NaN,LEC,90,3,"F, F, F, MW","9:00 AM, 9:00 AM, 9:00 AM, 10:30 AM","11:50 AM, 11:50 AM, 11:50 AM, 11:50 AM","B204, B204, B103, B206",,,,,,,
"95445, 92845, 52618",BUS,215,Intro to Business Statistics,NaN,LEC,90,3,"MW, MW, MW, MW","3:30 PM, 3:30 PM, 3:30 PM, 3:30 PM","4:50 PM, 4:50 PM, 4:50 PM, 4:50 PM","B103, B105, B203, B105",,,,,,,
"96314, 92873",BUS,340,Information Systems in Management,TECH,LEC,90,3,"MW, MW","10:30 AM, 10:30 AM","11:50 AM, 11:50 AM","A312, A724",,,,,,,
"96335, ?, 92874, 52674",BUS,355,Investment Analysis,NaN,LEC,90,3,"TUTH, TUTH, TUTH, TUTH","9:00 AM, 9:00 AM, 9:00 AM, 9:00 AM","10:20 AM, 10:20 AM, 10:20 AM, 10:20 AM","B204, B203, B205, B205",,,,,,,
"54853, 52633",BUS,448,Marketing Strategy,NaN,LEC,90,3,"MW, MW","10:30 AM, 10:30 AM","11:50 AM, 11:50 AM","B314, B314",,,,,,,
"95403(95404), 54649(54650), 92229(92230), 52088(52089)",CSE,101,Computer Science Principles,TECH,"LEC(LAB), LEC(LAB), LEC(LAB), LEC(LAB)","90(L90), 90(L90), 90(L90), 90(L90)",3,"TUTH(M), TUTH(W), TUTH(M), TUTH(W)","10:30 AM(10:30 AM), 2:00 PM(2:00 PM), 10:30 AM(12:30 PM), 2:00 PM(3:30 PM)","11:50 AM(11:50 AM), 3:20 PM(3:20 PM), 11:50 AM(1:50 PM), 3:20 PM(4:50 PM)","C107, C107, C105, C105",,,,,,,
"96950, 56458",AMS,104,Spreadsheet Technology and Applications,"QPS, TECH",LEC,90,3,"TUTH, MW","2:00 PM, 2:00 PM","3:20 PM, 3:20 PM","C107, B105",,,,,,,
"95394, 54843, 92220/97188, 52114/52213",AMS,151,Applied Calculus I,QPS,LEC,"90/91, 90/91, 90/92, 90/91",3,"MW/TUTH, MW, MW/TUTH, MW/TUTH","3:30 PM, 3:30 PM, 3:30 PM, 2:00 PM/3:30 PM","4:50 PM, 4:50 PM, 4:50 PM, 3:20 PM/4:50 PM","C103/B207, C107, C103, A211/C107",,,,,,,
"95395, 95656, 92221/92383, 52115/52214",AMS,161,Applied Calculus II,QPS,LEC,"90/91, 90/91, 90/91, 90/91",3,"MW/TUTH, MW/TUTH, MW/TUTH, MW/TUTH","3:30 PM, 3:30 PM, 3:30 PM, 3:30 PM","4:50 PM, 4:50 PM, 4:50 PM, 4:50 PM","C107, C103/B105, C105, C103",,,,,,,
"54681(54682),95397(95398), 92223(92224), 52117(52118)",AMS,261,Applied Calculus III,STEM+,"LEC(REC), LEC(REC), LEC(REC), LEC(REC)","90(R90), 90(R90), 90(R90), 90(R90)",4,"MW(RECM), MW(RECM), MW(RECM), MW(RECM)","3:30 PM(12:30 PM), 3:30 PM(12:30 PM), 3:30 PM(12:30 PM), 3:30 PM(12:30 PM)","4:50 PM(1:25 PM), 4:50 PM(1:25 PM), 4:50 PM(1:25 PM), 4:50 PM(1:25 PM)","B204, B204, A704, A211",,,,,,,
"95400, ?, 92226, 52141",AMS,310,Survey of Probability and Statistics,STEM+,LEC,90,3,"MW, MW, MW, TUTH","10:30 AM, 9:00 AM, 10:30 AM, 9:00 AM","11:50 AM, 10:20 AM, 11:50 AM, 10:20 AM","B203, B203, B207, C103",,,,,,,
"54683, 52119",AMS,311,Probability Theory,NaN,LEC,90,3,"MW, TUTH","9:00 AM, 12:30 PM","10:20 AM, 1:50 PM","B103, B313",,,,,,,
97233(97235),AMS,351,Applied Algebra,NaN,LEC(REC),90(R90),3,TUTH(RECTH),12:30 PM(2:00 PM),1:50 PM(2:55 PM),A704,,,,,,,
"95509, ?, 92300, 52121",AMS,475,Undergrad Teachng Practicum,EXP+; SPK,TUT,T90,3,"APPT, APPT, APPT, APPT","-, -, -, -","-, -, -, -","-, -, -, -",,,,,,,
"95517, ?, 92305, 52165",AMS,476,Undergrad Teaching Practicum,EXP+; SPK,TUT,T90,3,"APPT, APPT, APPT, APPT","-, -, -, -","-, -, -, -","-, -, -, -",,,,,,,
"95629(95628), 92369(92370)",AMS,507,Introduction to Probability,NaN,"LEC(REC), LEC(REC)","90(R90), 90(R90)",3,"TUTH(REM), TUTH(RECTU)","2:00 PM(1:00 PM), 9:00 PM(3:30 PM)","3:20 PM(1:55 PM), 10:20 PM(4:25 PM)","A312, A704",,,,,,,
"95619, 56465",AMS,572,Data Analysis I,NaN,LEC,90,3,"TUTH, TUTH","9:00 AM, 3:30 PM","10:20 AM, 4:50 PM","A116, B104",,,,,,,
56197,AMS,577,Multivariate Analysis,NaN,LEC,90,3,MW,9:00 AM,10:20 AM,B313,,,,,,,
95637,ACC,210,Financial Accounting (major & non-major),NaN,LEC,91,3,F,9:00 AM,11:50 AM,B103,,,,,,,
56199,BUS,302,Social Media Marketing Strategy,NaN,LEC,90,3,MW,3:30 PM,4:50 PM,B313,,,,,,,
"95451, 54733/56320, 96965, 52622/56515",BUS,330,Principles of Finance,NaN,LEC,"90, 90/91, 91, 90/91",3,"TUTH, TUTH, TUTH, TUTH","10:30 AM, 10:30 AM/2:00 PM, 2:00 PM, 10:30 AM/2:00 PM","11:50 AM, 11:50 AM/3:20 PM, 3:20 PM, 11:50 AM/3:20 PM","B105, B203/B204, B204, B105/B204",,,,,,,
"96313, 92872, 57031",BUS,334,Integrated Mktg Communications,NaN,LEC,90,3,"MW, MW, MW","2:00 PM, 2:00 PM, 3:30 PM","3:20 PM, 3:20 PM, 4:50 PM","B203, B204, B205",,,,,,,
"95452, 54734/56200, 92848/92875, 52623/52673",BUS,348,Principles of Marketing,NaN,LEC,"90, 90/91, 90/91, 90/91",3,"MW, MW, MW, MW","2:00 PM, 2:00 PM/10:30 AM, 5:00 PM/10:30 AM, 2:00 PM/10:30 AM","3:20 PM, 3:20 PM/11:50 AM, 6:20 PM/11:50 AM, 3:20 PM/11:50 AM","C107, B205/C103, B204, B103/B105",,,,,,,
"95609, ?, 92855, 52626",BUS,353,Entrepreneurship,NaN,LEC,90,3,"TUTH, TUTH, TUTH, TUTH","3:30 PM, 3:30 PM, 3:30 PM, 3:30 PM","4:50 PM, 4:50 PM, 4:50 PM, 4:50 PM","B103, B204, B314, A704",,,,,,,
"95638, 92859",BUS,358,Marketing Research,ESI,LEC,90,3,"MW, MW","3:30 PM, 3:30 PM","4:50 PM, 4:50 PM","B207, A211",,,,,,,
"95642, ?, 92861, 52631",BUS,359,Consumer Behavior,NaN,LEC,90,3,"TU, TU, TU, TU","2:00 PM, 2:00 PM, 2:00 PM, 2:00 PM","4:50 PM, 4:50 PM, 4:50 PM, 4:50 PM","A114, A114, A211, A724",,,,,,,
"56203, 52676",BUS,363,Brand Management,NaN,LEC,90,3,"MW, MW","2:00 PM, 2:00 PM","3:20 PM, 3:20 PM","B204, B204",,,,,,,
"95407(95408), 54653(54654), 92233(92234), 52092(52093)",CSE,214,Data Structures,NaN,"LEC(REC), LEC(REC), LEC(REC), LEC(REC)","90(R90), 90(R90), 90(R90), 90(R90)",4,"TUTH(RECW), TUTH(RECW), TUTH(RECW), TUTH(RECW)","2:00 PM(2:00 PM), 10:30 AM(2:00 PM), 10:30 AM(10:30 AM), 10:30 AM(2:00 PM)","3:20 PM(2:55 PM), 11:50 AM(2:55 PM), 11:50 AM(11:25 AM), 11:50 AM(2:55 PM)","C105(C105), C105(C106), B103(B103), C103(C107)",,,,,,,
"95562, 92336",AMS,317,Introduction to Linear Regression Analysis,NaN,LEC,90,3,"MW, MW","2:00 PM, 2:00 PM","3:20 PM, 3:20 PM","A117, B207",,,,,,,
"95587, 56459",AMS,318,Financial Mathematics,WRTD,LEC,90,3,"TUTH, TUTH","5:00 PM, 9:00 AM","6:20 PM, 10:20 AM","B205, B103",,,,,,,
"54821, 52200",AMS,326,Numerical Analysis,NaN,LEC,90,3,"MW, TUTH","2:00 PM, 5:00 PM","3:20 PM, 6:20 PM","B103, A116",,,,,,,
"95618, 92363",AMS,412,Mathematical Statistics,CER; ESI; EXP+,LEC,90,3,"MW, MW","3:30 PM, 3:30 PM","4:50 PM, 4:50 PM","B206, B206",,,,,,,
54846,AMS,573,Categorical Data Analysis,NaN,LEC,90,3,MW,10:30 AM,11:50 AM,A312,,,,,,,
"95657, 56467",AMS,597,Statistical Computing,NaN,"LAB, LEC","L90, 90",3,"MW, MW","10:30 AM, 3:30 PM","11:50 AM, 4:50 PM","B314, A702",,,,,,,
"96497, ?, 52671",ACC,310,Intermediate Accounting I,NaN,LEC,90,3,"W, W, MW","9:00 AM, 9:00 AM, 2:00 PM","11:50 AM, 11:50 AM, 3:20 PM","A724, A704, B205",,,,,,,
"95495, 54732, 92850, 52621",BUS,220,Intro to Decision Sciences,STEM+,LEC,"91, 90, 90, 90",3,"MW, MW, MW, MW","10:30 AM, 10:30 AM, 5:00 PM, 10:30 AM","11:50 AM, 11:50 AM, 6:20 PM, 11:50 AM","B105, B105, B103, B103",,,,,,,
95641,BUS,301,Business Communications,SPK; WRTD,LEC,90,3,W,2:00 PM,4:50 PM,A211,,,,,,,
"56321, 56516",BUS,331,International Finance,NaN,LEC,90,3,"TUTH, TUTH","10:30 AM, 10:30 AM","11:50 AM, 11:50 AM","B204, B204",,,,,,,
"95519, ?, 92851, 52624",BUS,346,Operations Management,NaN,LEC,90,3,"MW, MW, MW, MW","3:30 PM, 3:30 PM, 3:30 PM, 3:30 PM","4:50 PM, 4:50 PM, 4:50 PM, 4:50 PM","B105, B103, B103, B103",,,,,,,
"95677, 92866",BUS,366,Money and Financial Inst.,NaN,LEC,90,3,"TU, TUTH","10:30 AM, 10:30 AM","1:20 PM, 11:50 AM","A116, A211",,,,,,,
"56230, 52677",BUS,375,Data Mining,NaN,LEC,90,3,"MW, MW","2:00 PM, 2:00 PM","3:20 PM, 3:20 PM","B314, B314",,,,,,,
,BUS,475,Undergrad Teachng Practicum I,EXP+,TUT,,3,"APPT, APPT, APPT, APPT","-, -, -, -","-, -, -, -","-, -, -, -",,,,,,,
,BUS,476,Undergrad Teachng Practicum II,EXP+,TUT,,3,"APPT, APPT, APPT","-, -, -","-, -, -","-, -, -",,,,,,,
"95405(95406), 54651(54652), 92231(92232), 52090(52091)",CSE,114,Intro to Object-Oriented Prog,TECH,"LEC(LAB), LEC(LAB), LEC(LAB), LEC(LAB)","90(L90), 90(L90), 90(L90), 90(L90)",4,"MW(TUTH), MW(TUTH), MW(TUTH), MW(TUTH)","10:30 AM(2:00 PM), 2:00 PM(2:00 PM), 2:00 PM(2:00 PM), 2:00 PM(2:00 PM)","11:50 AM(3:20 PM), 3:20 PM(3:20 PM), 3:20 PM(3:20 PM), 3:20 PM(3:20 PM)","C103, C105, C105, C103",,,,,,,
"95409(95410), 54655(54656), 92235(92236), 52094(52095)",CSE,215,Foundations of Comp Science,NaN,"LEC(REC), LEC(REC), LEC(REC), LEC(REC)","90(R90), 90(R90), 90(R90), 90(R90)",4,"TUTH(RECW), MW(RECW), TUTH(RECTU), MW(RECM)","12:30 PM(3:30 PM), 10:30 AM(5:00 PM), 12:30 PM(3:30 PM), 9:00 AM(12:30 PM)","1:50 PM(4:25 PM), 11:50 AM(5:55 PM), 1:50 PM(4:25 PM), 10:20 AM(1:25 PM)","B204(B203), C105(C105), B207(B207), C107(C107)",,,,,,,
"95570(95571), 54785(54786), 92239(92340), 52175(52176)",CSE,216,Programming Abstractions,NaN,"LEC(REC), LEC(REC), LEC(REC), LEC(REC)","90(R90), 90(R90), 90(R90), 90(R90)",4,"TUTH(RECW), MW(RECW), TUTH(RECTH), TUTH(RECW)","5:00 PM(2:00 PM), 2:00 PM(3:30 PM), 9:00 AM(2:00 PM), 10:30 AM(2:00 PM)","6:20 PM(2:55 PM), 3:20 PM(4:25 PM), 10:20 AM(2:55 PM), 11:50 AM(2:55 PM)","B203(A704), B203(B203), B203(B203), B203(B203)",,,,,,,
"95442, 92268, 56522",CSE,310,Computer Networks,NaN,LEC,90,3,"MW, TUTH, MW","10:30 AM, 10:30 AM, 3:30 PM","11:50 AM, 11:50 AM, 4:50 PM","A704, B204, B204",,,,,,,
"54742, 52149",CSE,312,"Legal, Social, and Ethical Issues in Information Systems","CER, ESI, STAS",LEC,90,3,"MW, MW","10:30 AM, 10:30 AM","11:50 AM, 11:50 AM","B205, B205",,,,,,,
"95543, ?, 92321, 52104",CSE,320,Systems Fundamentals II,NaN,LEC,90,3,"TUTH, TUTH, TUTH, TUTH","12:30 PM, 10:30 AM, 12:30 PM, 12:30 PM","1:50 PM, 11:50 AM, 1:50 PM, 1:50 PM","B103, B205, B205, B205",,,,,,,
"96333, 56523",CSE,331,Computer Security Fundamentals,NaN,LEC,90,3,"TUTH, TUTH","10:30 AM, 10:30 AM","11:50 AM, 11:50 AM","B204, B207",,,,,,,
"95467, 92281, 56524",CSE,352,Artificial Intelligence,NaN,LEC,90,3,"MW, TUTH, MW","2:00 PM, 2:00 PM, 2:00 PM","3:20 PM, 3:20 PM, 3:20 PM","B314, A312, B207",,,,,,,
56207,CSE,353,Machine Learning,NaN,LEC,90,3,TUTH,2:00 PM,3:20 PM,B207,,,,,,,
"95413, 92239",CSE,373,Analysis of Algorithms,NaN,LEC,90,3,"MW, TUTH","9:00 AM, 5:00 PM","10:20 AM, 6:20 PM","B203, B205",,,,,,,
"95660, 92386",CSE,534,Fundament of Computer Networks,NaN,LEC,90,3,"MW, TUTH","10:30 AM, 9:00 AM","11:50 AM, 10:20 AM","A704, B313",,,,,,,
"96328, 92471",CSE,537,Artificial Intelligence,NaN,LEC,90,3,"MW, MW","3:30 PM, 3:30 PM","4:50 PM, 4:50 PM","A312, B314",,,,,,,
,CSE,596,MS Internship Prog Off-Campus,NaN,TUT,,1,"APPT, APPT, APPT","-, -, -","-, -, -","-, -, -",,,,,,,
"54911, 96943, 52257",CSE,656,Seminar in Computer Vision,NaN,SEM,S90,1,"TU, TU, TU","6:30 PM, 6:30 PM, 6:30 PM","7:50 PM, 7:50 PM, 7:50 PM","-, B205, B205",,,,,,,
96323,CSE,659,Seminar in Computer Security,NaN,SEM,S90,1,"TU, TU","6:30 PM, 6:30 PM","7:50 PM, 7:50 PM","nan, -",,,,,,,
,CSE,698,Practicum in Teaching,NaN,TUT,,0 to 3,"APPT, APPT, APPT, APPT","-, -, -, -","-, -, -, -","-, -, -, -",,,,,,,
,CSE,699,Dissertation Research on Campus,NaN,TUT,,0 to 9,"APPT, APPT, APPT, APPT","-, -, -, -","-, -, -, -","-, -, -, -",,,,,,,
"96955, 56477",ESE,271,Electrical Circuit Analysis,NaN,LEC,90,3,"TUTH, MW","9:00 AM, 9:00 AM","10:20 AM, 10:20 AM","B204, B613",,,,,,,
56530(56529),ESE,272,Electronics,NaN,LEC(LAB),90(L90),4,TUTH(TU),10:30 AM(2:00 PM),11:50 AM(4:50 PM),B613(C508),,,,,,,
"96981, 56473",ESE,305,Deterministic Signals and Systems,NaN,LEC,90,3,"MW, MW","10:30 AM, 10:30 AM","11:50 AM, 11:50 AM","B205, B613",,,,,,,
"54804, 52191",CSE,327,Fundamentals of Computer Vision,NaN,LEC,90,3,"TUTH, TUTH","3:30 PM, 3:30 PM","4:50 PM, 4:50 PM","B203, B314",,,,,,,
95658,CSE,502,Computer Architecture,NaN,LEC,90,3,MW,2:00 PM,3:20 PM,B313,,,,,,,
96969,CSE,538,Natural Language Processing,NaN,LEC,90,3,TUTH,5:00 PM,6:20 PM,B313,,,,,,,
54857,CSE,570,Wireless and Mobile Networks,NaN,LEC,90,3,TUTH,12:30 PM,1:50 PM,B314,,,,,,,
"96324, 97249, 56526",CSE,600,Topics in Modern Computer Science,NaN,LEC,"S90, S91, 90",0 to 1,"F, F, F","2:00 PM, 2:00 PM, 2:00 PM","3:20 PM, 3:20 PM, 2:50 PM","?, A312, A116",,,,,,,
"95501, ?, 92292, 52112",CSE,644,Seminar in Databases,NaN,SEM,S90,1,"TU, TU, TU, TU","6:30 PM, 6:30 PM, 6:30 PM, 6:30 PM","7:50 PM, 7:50 PM, 7:50 PM, 7:50 PM","-, -, B203, B203",,,,,,,
56537,CSE,650,Seminar in Architecture,NaN,SEM,S90,NaN,TU,6:30 PM,7:50 PM,B105,,,,,,,
"56225(56226), 96954(96956), 52368(52369)",ESE,118,Digital Logic Design,TECH,LEC(LAB),90(L90),4,"TUTH(TUTH), TUTH(TU), TUTH(TH)","10:30 AM(2:00 PM), 10:30 AM(2:00 PM), 10:30 AM(2:00 PM)","11:50 AM(4:50 PM), 11:50 AM(4:50 PM), 11:50 AM(4:50 PM)","A313(B607), B314(C607), C607(C607)",,,,,,,
"56210, 96973",ESE,122,Discrete Mathematics for Engineers,NaN,LEC,90,3,"MW, TUTH","9:00 AM, 5:00 PM","10:20 AM, 6:20 PM","B105, B206",,,,,,,
,ESE,499,Research in Electrical Sciences,NaN,TUT,,0 to 3,"APPT, APPT, APPT, APPT","-, -, -, -","-, -, -, -","-, -, -, -",,,,,,,
"95575, ?, 92343, 52203",EST,194,Decision-making,QPS,LEC,90,3,"MW, MW, MW, MW","5:00 PM, 5:00 PM, 5:00 PM, 2:00 PM","6:20 PM, 6:20 PM, 6:20 PM, 3:20 PM","B105, B103, B207, A704",,,,,,,
"95500, 92291",CSE,300,Technical Communications,SPK; WRTD,LEC,90,3,"MW, MW","3:30 PM, 3:30 PM","4:50 PM, 4:50 PM","B205, B205",,,,,,,
96938,CSE,304,Compiler Design,NaN,LEC,90,3,TUTH,9:00 AM,10:20 AM,B103,,,,,,,
56521,CSE,306,Operating System,"Partially: ESI, EXP+, SBS+, STEM+",LEC,90,3,TUTH,12:30 PM,1:50 PM,B204,,,,,,,
96966,CSE,354,Natural Language Processing,NaN,LEC,90,3,TUTH,3:30 PM,4:50 PM,B313,,,,,,,
"95572, ?, 92341, 52148",CSE,416,Software Engineering,"Partially: ESI, EXP+, SBS+, STEM+",LEC,90,3,"TUTH, TUTH, TUTH, TUTH","2:00 PM, 10:30 AM, 2:00 PM, 5:00 PM","3:20 PM, 11:50 AM, 3:20 PM, 6:20 PM","B203, B313, A116, B105",,,,,,,
,CSE,475,Undergrad Teaching Practicum,EXP+,TUT,,3,"APPT, APPT, APPT","-, -, -","-, -, -","-, -, -",,,,,,,
,CSE,523,Advanced Project in Computer Science I,NaN,TUT,,3,"APPT, APPT, APPT","-, -, -","-, -, -","-, -, -",,,,,,,
"95626, 54823, 92368, 52201",CSE,646,Seminar in Artificial Intelligence,NaN,SEM,S90,1,"TU, TU, TU, TU","6:30 PM, 6:30 PM, 6:30 PM, 6:30 PM","7:50 PM, 7:50 PM, 7:50 PM, 7:50 PM","-, -, B204, B204",,,,,,,
"95414, 54824, 92240, 52202",CSE,658,Seminar on Mobile and Wireless Networking,NaN,SEM,S90,1,"TU, TU, TU, TU","6:30 PM, 6:30 PM, 6:30 PM, 6:30 PM","7:50 PM, 7:50 PM, 7:50 PM, 7:50 PM","-, -, B206, B206",,,,,,,
,CSE,696,PhD Internship Project Off-Campus,NaN,TUT,,1 to 3,"APPT, APPT","-, -","-, -","-, -",,,,,,,
56528(56527),ESE,224,Advanced Programming and Data Structures,NaN,LEC(LAB),90(L90),4,TUTH(F),12:30 PM(2:00 PM),1:50 PM(5:00 PM),B613(B613),,,,,,,
,ESE,488,Internship in Electrical/Computer Engineering,EXP+,TUT,,3,"APPT, APPT, APPT, APPT","-, -, -, -","-, -, -, -","-, -, -, -",,,,,,,
"96473, ?, 92498, 52364",EST,100,"Designing, Producing & Presenting Multimedia Projects",TECH,LEC,90,3,"TU, TUTH, TUTH, MW","3:30 PM, 5:00 PM, 5:00 PM, 5:00 PM","4:50 PM, 6:20 PM, 6:20 PM, 6:20 PM","A314, A115, A115, A115",,,,,,,
"95411(95412), 54736(54735), 92237(92238), 52145(52144)",CSE,220,Systems Fundamentals I,NaN,"LEC(REC), LEC(REC), LEC(REC), LEC(REC)","90(R90), 90(R90), 90(R90), 90(R90)",4,"TUTH(RECM), TUTH(RETU), MW(RECM), TUTH(RECTH)","10:30 AM(12:30 PM), 10:30 AM(12:30 PM), 10:30 AM(12:30 PM), 12:30 PM(2:00 PM)","11:50 AM(1:25 PM), 11:50 AM(1:25 PM), 11:50 AM(1:25 PM), 1:50 PM(2:55 PM)","B203(B203), C107(C107), B203(B203), B203(B203)",,,,,,,
"95546, ?, 92322, 52096",CSE,303,Intro to Theory of Computation,NaN,LEC,90,3,"TUTH, TUTH, TUTH, TUTH","3:30 PM, 3:30 PM, 3:30 PM, 3:30 PM","4:50 PM, 4:50 PM, 4:50 PM, 4:50 PM","A312, B103, B204, B204",,,,,,,
"95573, 54820, 92342, 52199",CSE,316,Fundamentals of Software Development,"Partially: ESI, EXP+, SBS+, STEM+",LEC,90,3,"MW, MW, MW, MW","2:00 PM, 3:30 PM, 9:00 AM, 9:00 AM","3:20 PM, 4:50 PM, 10:20 AM, 10:20 AM","B204, B314, B207, B207",,,,,,,
,CSE,487,Research in Computer Science,NaN,TUT,,0 to 6,"APPT, APPT, APPT, APPT","-, -, -, -","-, -, -, -","-, -, -, -",,,,,,,
"96331, 56525",CSE,508,Network Security,NaN,LEC,90,3,"TUTH, TUTH","10:30 AM, 10:30 AM","11:50 AM, 11:50 AM","B204, B207",,,,,,,
"56208, 52355",CSE,512,Machine Learning,NaN,LEC,90,3,"TUTH, TUTH","2:00 PM, 2:00 PM","3:20 PM, 3:20 PM","B207, A116",,,,,,,
,CSE,522,Special Project in Computer Science,NaN,TUT,,3,"APPT, APPT, APPT","-, -, -","-, -, -","-, -, -",,,,,,,
,CSE,524,Advanced Project in Computer Science II,NaN,TUT,,3,"APPT, APPT, APPT","-, -, -","-, -, -","-, -, -",,,,,,,
56209,CSE,527,Introduction to Computer Vision,NaN,LEC,90,3,TUTH,3:30 PM,4:50 PM,B203,,,,,,,
"54737, 52146",CSE,540,Theory of Computation,NaN,LEC,90,3,"TUTH, MW","12:30 PM, 2:00 PM","1:50 PM, 3:20 PM","B206, A312",,,,,,,
56970,CSE,541,Logic in ComputerScience,NaN,LEC,90,3,MW,2:00 PM,3:20 PM,B313,,,,,,,
,CSE,587,Proficiency Requirement,NaN,TUT,,3,"APPT, APPT","-, -","-, -","-, -",,,,,,,
,CSE,593,Independent Study in Computer Science,NaN,TUT,,1 to 9,"APPT, APPT, APPT","-, -, -","-, -, -","-, -, -",,,,,,,
,CSE,599,M.S. Thesis Research,NaN,TUT,,1 to 12,"APPT, APPT, APPT, APPT","-, -, -, -","-, -, -, -","-, -, -, -",,,,,,,
"95502, ?, 52113",CSE,649,Seminar in Operating Systems,NaN,SEM,S90,NaN,"TU, TU, TU","6:30 PM, 6:30 PM, 6:30 PM","7:50 PM, 7:50 PM, 7:50 PM","-, -, -",,,,,,,
,CSE,700,Dissertation off Campus Domest,NaN,TUT,,0 to 9,"APPT, APPT","-, -","-, -","-, -",,,,,,,
